stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
000001,000001,DE - Deposito Amat,DE - Deposito Amat,40.465699,17.281497,000001,0,
010010,010010,Montetermiti (zona residenziale),MONTETERMITI (zona residenziale),40.575637,17.206367,010010,0,
010020,010020,"Via Arena di Verona, 9",ARENA DI VERONA,40.574427,17.216077,010020,0,
010030,010030,Via Arena di verona,VIA ARENA DI VERONA,40.574333,17.213237,010030,0,
010040,010040,Via Teatro all' Opera,VIA TEATRO ALL' OPERA  n. 221,40.574327,17.217807,010040,0,
010050,010050,S.P. Crispiano-Statte,STRADA PROV.Crispiano-Statte (Ist..T.I.),40.573977,17.205767,010050,0,
010060,010060,Teatro Massimo (piazzetta),TEATRO MASSIMO (piazzetta),40.573194,17.212396,010060,0,
010070,010070,Via Teatro all' Opera,VIA TEATRO ALL' OPERA (fronte incrocio),40.572655,17.218471,010070,0,
010090,010090,Corso V. Emanuele III(Eurospin),CORSO V. EMANUELE III n. 204,40.572474,17.206146,010090,0,
010100,010100,Via Teatro della Scala,VIA TEATRO DELLA SCALA n. 26,40.571586,17.214583,010100,0,
010110,010110,Via Teatro Alhambra,"VIA TEATRO ALHAMBRA, n. 4",40.570867,17.216367,010110,0,
010120,010120,Corso V. Emanuele - 180,CORSO V. EMANUELE III n. 180,40.570113,17.205989,010120,0,
010130,010130,"Corso V. Emanuele III ,170",CORSO V. EMANUELE  III n.  170,40.569550,17.205686,010130,0,
010140,010140,Via Falconieri-70,VIA FALCONIERI  n. 70,40.569027,17.214167,010140,0,
010150,010150,Via Falconieri,VIA FALCONIERI - (fr. n. 72),40.569187,17.214067,010150,0,
010151,010151,Via Farina,VIA FARINA  (ang.via Cavalli),40.568418,17.220648,010151,0,
010152,010152,Via Malipiero,VIA MALIPIERO (ang.via Farina),40.568398,17.224586,010152,0,
010153,010153,Via Palestrina,VIA PALESTRINA (ang.via Farina),40.568398,17.226127,010153,0,
010160,010160,Via Giordano,VIA GIORDANO  (fronte Poliambulatorio),40.567827,17.213557,010160,0,
010170,010170,Via del Castello,VIA DEL CASTELLO (fr. n. 67),40.568837,17.205877,010170,0,
010180,010180,Corso V. Emanuele III,CORSO V. EMANUELE III  (fr.n. 148),40.567752,17.205513,010180,0,
010190,010190,Via Albinoni,VIA ALBINONI (fronte poliambulatorio),40.566743,17.212790,010190,0,
010200,010200,Via Mercadante,VIA MERCADANTE  (fr.n. 31),40.565818,17.210020,010200,0,
010220,010220,Corso V. Emanuele III,CORSO V. EMANUELE III n. 165,40.566271,17.205304,010220,0,
010240,010240,Via Tripoli,VIA TRIPOLI n.  5,40.565271,17.208822,010240,0,
010250,010250,Circ. M. Ventrelli,CIRC. M. VENTRELLI  (scuole elementari),40.564051,17.209604,010250,0,
010260,010260,Corso V. Emanuele III,CORSO V. EMANUELE III n. 113,40.564211,17.205079,010260,0,
010270,010270,Piazza V. Veneto,PIAZZA V. VENETO  n. 1,40.561814,17.204937,010270,0,
010290,010290,Circ. M.Ventrelli,CIRC. M.VENTRELLI (Ang. Via M.d.Rosario),40.560800,17.209953,010290,0,
010300,010300,Circ. M. Ventrelli,CIRC. M. VENTRELLI (Ang. Via Taranto),40.559908,17.207029,010300,0,
010310,010310,Via  Taranto,VIA TARANTO n. 46,40.560562,17.206380,010310,0,
010330,010330,Via Taranto  (Parco giochi),VIA TARANTO (Parco giochi),40.557687,17.206066,010330,0,
010340,010340,Via Taranto,VIA TARANTO n. 9800,40.556112,17.205263,010340,0,
010350,010350,Via Taranto,VIA TARANTO (fr. n.9800),40.556237,17.205677,010350,0,
010360,010360,Via Taranto,VIA TARANTO n. 9420,40.552422,17.205219,010360,0,
010390,010390,Via Taranto,VIA TARANTO  (fr. n. 9420),40.552492,17.205967,010390,0,
010400,010400,Via Taranto,VIA TARANTO n. 9280,40.549623,17.206600,010400,0,
010410,010410,Via Taranto,VIA TARANTO  (fr.n. 9280),40.549984,17.207238,010410,0,
010420,010420,Via Taranto,VIA TARANTO  (fr. Via Canale),40.547999,17.207328,010420,0,
010430,010430,Via Taranto,VIA TARANTO (ang. Via D. Colucci),40.547548,17.207541,010430,0,
010440,010440,Via Taranto  (ang. Via Lacerenza),VIA TARANTO (ang. Via Lacerenza),40.545118,17.208150,010440,0,
010450,010450,Via Taranto,VIA TARANTO  (fr. Via Petrella),40.544807,17.207922,010450,0,
010460,010460,Via Taranto,VIA TARANTO (fr.Via E. Pignatelli),40.542857,17.208327,010460,0,
010470,010470,Via Taranto,VIA TARANTO  (Zona Feliciolla),40.542997,17.208577,010470,0,
010480,010480,Via Taranto,VIA TARANTO (fr. Magazzino stock in),40.538678,17.209297,010480,0,
010490,010490,Via Taranto,VIA TARANTO  (Magazzino Stock in),40.538568,17.209617,010490,0,
010530,010530,Via Taranto,VIA TARANTO  (Supermercato Pascar),40.534698,17.210617,010530,0,
010540,010540,Via Taranto,VIA TARANTO (cava Due Mari),40.530357,17.210955,010540,0,
010550,010550,Via Taranto,VIA TARANTO  (fr. cava Due Mari),40.530572,17.211391,010550,0,
010560,010560,Via per Taranto,VIA TARANTO  (fr. n. 7600),40.527201,17.212644,010560,0,
010570,010570,Via per Statte,VIA TARANTO  n. 7600,40.527435,17.212752,010570,0,
020010,020010,Osped. Nord Cap.,OSPEDALE NORD CAPOLINEA,40.538118,17.276747,020010,0,
020040,020040,Viale P. Nenni,VIALE  P. NENNI  n. 46,40.535935,17.279205,020040,0,
020050,020050,V.le P. Nenni,VIALE P. NENNI  (fr. n.7),40.535888,17.281627,020050,0,
020060,020060,Corso Buozzi,CORSO BUOZZI (ang.  V.le P. Nenni),40.535619,17.277101,020060,0,
020070,020070,V.le P. Nenni,VIALE P. NENNI  (fr. n.14),40.535338,17.283182,020070,0,
020080,020080,V.le P. Nenni,VIALE P. NENNI  n.5,40.535798,17.278537,020080,0,
020090,020090,V.le P. Nenni,VIALE P. NENNI  n.2,40.533204,17.283444,020090,0,
020100,020100,Via  G. Salvemini,VIA G. SALVEMINI  (fr. n. 35),40.532368,17.285827,020100,0,
020120,020120,V.le P. Nenni,VIALE P. NENNI  (fr.n. 46),40.534208,17.279327,020120,0,
020130,020130,V.le P.  Nenni,VIALE P. NENNI (edificio 3 sc. C),40.532328,17.281757,020130,0,
020150,020150,Via G. Salvemini,VIALE G. SALVEMINI  fr.- n.5,40.531140,17.284518,020150,0,
020170,020170,V.le del Turismo,VIALE DEL TURISMO  (ang. via Salvemini ),40.530272,17.281575,020170,0,
020180,020180,V.le del Turismo,VIALE DEL TURISMO  (ang. via Salvemini ),40.530182,17.281222,020180,0,
020181,020181,Via P. Togliatti,VIA P. TOGLIATTI  (ang. c.so B.Buozzi),40.529704,17.276191,020181,0,
020182,020182,Via P. Togliatti,VIA P. TOGLIATTI  (fr. n.17),40.529455,17.273725,020182,0,
020190,020190,Via P. Togliatti,VIA P. TOGLIATTI n. 11,40.529277,17.273605,020190,0,
020191,020191,Via P.Togliatti,VIA P. TOGLIATTI  ( ang. C.so Buozzi ),40.529585,17.276234,020191,0,
020192,020192,Corso Bruno Buozzi,CORSO BUOZZI (pal. C),40.532519,17.277083,020192,0,
020193,020193,Corso Bruno Buozzi,CORSO BUOZZI  (fr. pal. C),40.532606,17.276658,020193,0,
020210,020210,Via P. Togliatti,VIA TOGLIATTI  (L. chiesa),40.528268,17.274677,020210,0,
020211,020211,Via P. Togliatti,VIA TOGLIATTI  (fr.chiesa),40.528098,17.274547,020211,0,
020220,020220,V.le del Turismo,VIALE DEL TURISMO n.  14,40.528612,17.281500,020220,0,
020229,020229,Via De Gasperi,VIA DE GASPERI n. 21,40.527376,17.282675,020229,0,
020230,020230,Vialle del Turismo,VIALE DEL TURISMO  (fr. n. 14),40.528442,17.281202,020230,0,
020231,020231,Via De Gasperi,VIA DE GASPERI  (Università),40.527029,17.283686,020231,0,
020240,020240,Via De Gasperi,VIA DE GASPERI n. 15,40.527268,17.274857,020240,0,
020250,020250,Via De Gasperi,VIA DE GASPERI  (fr. n. 17),40.526906,17.274575,020250,0,
020260,020260,Viale del Turismo,VIALE DEL TURISMO  (Università),40.525981,17.281646,020260,0,
020261,020261,Viale del Turismo,VIALE DEL TURISMO  ( fr. Università),40.526123,17.281084,020261,0,
020270,020270,Via De Gasperi,VIA DE GASPERI n. 1,40.525375,17.273050,020270,0,
020280,020280,Via De Gasperi,VIA DE GASPERI  (fr n. 1),40.525438,17.273413,020280,0,
020290,020290,Viale del Lavoro,VIALE DEL LAVORO  n. 13,40.524899,17.272068,020290,0,
020300,020300,Viale del Lavoro,VIALE DEL LAVORO  (case Gescal),40.524614,17.271853,020300,0,
020310,020310,Viale del Turismo,VIALE DEL TURISMO  (istit. ricerche),40.524638,17.281487,020310,0,
020320,020320,Viale del Lavoro,VIALE DEL LAVORO  (succursale 13° circ),40.523846,17.278134,020320,0,
020330,020330,Viale del Turismo,VIALE DEL TURISMO  (fr. ist. ricerche),40.524808,17.281217,020330,0,
020340,020340,Via Miglioli,VIA MIGLIOLI  n. 246,40.524117,17.270032,020340,0,
020350,020350,Via Miglioli,VIA MIGLIOLI   (piazzale),40.523962,17.269746,020350,0,
020360,020360,Viale del Lavoro,VIALE DEL LAVORO  (case Ilva),40.523670,17.275366,020360,0,
020370,020370,Viale del Lavoro,VIALE DEL LAVORO  (fr. cittadella),40.523723,17.283316,020370,0,
020380,020380,Viale dell'Industria,VIALE DELL'INDUSTRIA  (fr. n.141),40.523428,17.279657,020380,0,
020390,020390,Corso Buozzi,CORSO BUOZZI n. 154,40.523143,17.277108,020390,0,
020400,020400,Via Pastore,VIA PASTORE n. 223,40.522286,17.271974,020400,0,
020410,020410,Via Sommovigo,VIA SOMMOVIGO  (fr. Chiesa),40.522005,17.274250,020410,0,
020420,020420,Via Murri,VIA MURRI  (Ang. via Grandi),40.522098,17.270377,020420,0,
020430,020430,Via Sommovigo,VIA SOMMOVIGO  (ang. Via Buozzi),40.521855,17.275611,020430,0,
020440,020440,Viale dell'Industria,VIALE DELL'INDUSTRIA (fr. n. 140),40.521874,17.279648,020440,0,
020450,020450,Via Grandi,VIA GRANDI  n. 261,40.521692,17.270869,020450,0,
020460,020460,Viale dell'Industria,VIALE DELL'INDUSTRIA n. 17,40.520125,17.279621,020460,0,
020461,020461,Viale del Turismo,VIALE DEL TURISMO (ang. V.le Cannata),40.521220,17.281098,020461,0,
020462,020462,Viale del Turismo,VIALE CANNATA  (ang. V.le Cannata L.est),40.519778,17.281517,020462,0,
020470,020470,Corso Buozzi,CORSO BUOZZI (ang. via dell'artigianato),40.520601,17.276101,020470,0,
020480,020480,Corso Buozzi,CORSO BUOZZI  (fr.via dell'agricoltura),40.519874,17.276472,020480,0,
020490,020490,Via Grandi,VIA GRANDI  n. 269,40.520058,17.270717,020490,0,
020500,020500,Strada Stat. 172,Strada Stat. 172 (Seminario Regionale),40.519428,17.258757,020500,0,
020505,020505,TELEPERFORMANCE,TELEPERFORMANCE,40.515256,17.251616,020505,0,
020510,020510,Via XXV Aprile,VIALE XXV APRILE,40.519818,17.261617,020510,0,
020520,020520,Viale Cannata,VIALE CANNATA (Corte d'Appello),40.519547,17.270420,020520,0,
020530,020530,Viae Cannata,VIALE CANNATA  (ang.. via Latorre),40.519657,17.273781,020530,0,
020531,020531,Viale Cannata,VIALE CANNATA (ang.Corso Buozzi L. nord),40.519544,17.275859,020531,0,
020532,020532,Vle della liberazione,"V.le della liberazione, 88",40.516638,17.276447,020532,0,
020539,020539,Viale Cannata,VIALE CANNATA (ang. v.le dell'Industria),40.519523,17.279004,020539,0,
020540,020540,VIAle Cannata fr. n. 8800,VIALE CANNATA fr. n. 8800,40.519420,17.285074,020540,0,
020541,020541,Viale Cannata,VIALE CANNATA (ang.v.le Turismo L.nord),40.519402,17.282470,020541,0,
020542,020542,Viale Cannata,VIALE CANNATA(fr.ang.v.le del Turismo ),40.519218,17.282253,020542,0,
020550,020550,Via XXV Aprile,VIA XXV APRILE fr. n. 29,40.519538,17.260347,020550,0,
020560,020560,Via per Martina Fr.,VIA PER MARTINA FRANCA  (fr. Seminario),40.519658,17.259227,020560,0,
020570,020570,Viale Cannata,VIALE CANNATA  (fr. via Latorre),40.519238,17.274037,020570,0,
020580,020580,Viale Cannata,VIALE CANNATA (fr.via Buozzi),40.519258,17.276747,020580,0,
020581,020581,Viale Cannata  n. 13,VIALE CANNATA n. 13,40.519258,17.278707,020581,0,
020590,020590,V.le Cannata,VIALE CANNATA n. 8800,40.519158,17.285247,020590,0,
020600,020600,Via XXV Aprile,VIA XXV APRILE n. 29,40.519488,17.260447,020600,0,
020620,020620,Via .Grandi,VIA GRANDI fr. n. 50,40.519018,17.270567,020620,0,
020640,020640,Via A. Grandi,VIA GRANDI n. 50,40.519018,17.270827,020640,0,
020650,020650,Viale IV Novembre,VIALE IV NOVEMBRE (Corte d'Appello),40.518748,17.267817,020650,0,
020660,020660,Viale IV Novembre,VIALE IV NOVEMBRE  (fr. Corte d'Appello),40.518588,17.267467,020660,0,
020670,020670,Via G. Impastato,VIA IMPASTATO (CORTE D'APPELLO),40.518238,17.270077,020670,0,
020680,020680,Viale della Liberazione (fr. calcetto),VIALE DELLA LIBERAZIONE (fr. calcetto),40.517698,17.266097,020680,0,
020690,020690,Via XXV Aprile n. 26,VIA XXV APRILE n. 26,40.517968,17.259637,020690,0,
