route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
001/2,0INVFEST2025091520251231000001,1902453,Park Cimino,,1,,+001/21/2P2
001/2,0INVFEST2025091520251231000001,1902454,Park Cimino,,1,,+001/21/2R2
001/2,0INVFEST2025091520251231000001,1902455,Capolinea Orsini,,0,,+001/21/2A1
001/2,0INVFEST2025091520251231000001,1902456,Capolinea Orsini,,0,,+001/21/2A1
001/2,0INVFEST2025091520251231000001,1902457,Park Cimino,,1,,+001/21/2R2
001/2,0INVFEST2025091520251231000001,1902458,Park Cimino,,1,,+001/21/2R2
001/2,0INVFEST2025091520251231000001,1902459,Compl. ovest SS.7 Appia,,0,,+001/212I*1
001/2,0INVFEST2025091520251231000001,1902460,Park Cimino,,1,,+001/21/2R2
001/2,0INVFEST2025091520251231000001,1902461,Park Cimino,,1,,+001/21/2R2
001/2,0INVFEST2025091520251231000001,1902462,Capolinea Orsini,,0,,+001/21/2A1
001/2,0INVFEST2025091520251231000001,1902463,Park Cimino,,1,,+001/21/2R2
001/2,0INVFEST2025091520251231000001,1902464,Park Cimino,,1,,+001/21/2R2
001/2,0INVFEST2025091520251231000001,1902465,Capolinea Orsini,,0,,+001/21/2A1
001/2,0INVFEST2025091520251231000001,1902466,Capolinea Orsini,,0,,+001/21/2A1
001/2,0INVFEST2025091520251231000001,1902467,DE - Deposito Amat,,1,,+001/21/2D2
001/2,0INVFEST2025091520251231000001,1902468,Park Cimino,,1,,+001/21/2R2
001/2,0INVFEST2025091520251231000001,1902469,Capolinea Orsini,,0,,+001/21/2A1
001/2,0INVFEST2025091520251231000001,1902470,PM - Cap. Porto Merc.,,0,,+001/21/2P1
001/2,0INVFEST2025091520251231000001,1902471,Capolinea Orsini,,0,,+001/212A*1
001/2,0INVFEST2025091520251231000001,1902473,Capolinea Orsini,,0,,+001/212A*1
001/2,0INVFEST2025091520251231000001,1902474,Capolinea Orsini,,0,,+001/21/2A1
001/2,0INVFEST2025091520251231000001,1902475,Park Cimino,,1,,+001/21/2R2
001/2,0INVFEST2025091520251231000001,1902476,Park Cimino,,1,,+001/21/2R2
001/2,0INVFEST2025091520251231000001,1902477,Park Cimino,,1,,+001/212P*2
001/2,0INVFEST2025091520251231000001,1902478,Capolinea Orsini,,0,,+001/212A*1
001/2,0INVFEST2025091520251231000001,1902479,Park Cimino,,1,,+001/21/2R2
001/2,0INVFEST2025091520251231000001,1902480,Park Cimino,,1,,+001/212R*2
001/2,0INVFEST2025091520251231000001,1902481,Capolinea Orsini,,0,,+001/212A*1
001/2,0INVFEST2025091520251231000001,1902482,Park Cimino,,1,,+001/21/2M2
001/2,0INVFEST2025091520251231000001,1902483,Park Cimino,,1,,+001/21/2R2
001/2,0INVFEST2025091520251231000001,1902484,Park Cimino,,1,,+001/21/2R2
001/2,0INVFEST2025091520251231000001,1902485,Capolinea Orsini,,0,,+001/21/2A1
001/2,0INVFEST2025091520251231000001,1902486,Capolinea Orsini,,0,,+001/21/2A1
